gender,gradeID,raisedHands,semester,visitedResources,announcementsView,discussion,parentParticipating,studentAbsenceDays,class
2,2,98,1,88,60,31,0,0,1
2,2,75,2,81,51,34,0,0,1
2,2,10,1,20,22,97,0,1,0
2,2,5,2,9,19,98,0,1,0
1,2,10,1,10,40,51,0,1,0
1,2,35,2,2,29,23,0,1,0
1,2,10,1,30,50,91,1,1,0
1,2,12,2,22,59,83,1,1,0
2,2,11,1,20,20,98,0,1,0
2,2,10,2,12,29,93,0,1,0
1,2,69,1,82,20,28,1,0,1
1,2,70,2,83,29,33,1,0,1
2,2,89,1,92,40,28,1,0,1
2,2,79,2,93,49,23,1,0,1
1,2,4,1,10,11,7,0,1,0
1,2,5,2,0,1,8,0,1,0
2,7,86,1,98,50,20,1,0,1
2,7,90,2,90,57,22,1,0,1
1,7,78,1,91,50,40,1,0,1
1,7,70,2,98,54,72,1,0,1
1,7,88,1,90,86,81,1,0,1
1,7,89,2,92,89,83,1,0,1
1,7,76,1,81,80,86,0,0,1
1,7,65,2,89,64,82,0,0,1
2,7,96,1,95,70,70,1,0,1
2,7,80,2,91,87,72,1,0,1
1,7,2,1,9,10,1,0,1,0
1,7,3,2,8,19,3,0,1,0
2,7,70,1,89,12,21,0,0,1
2,7,59,2,90,19,43,0,0,1
2,7,10,1,9,2,1,0,1,0
2,7,9,2,7,9,3,0,1,0
1,7,98,1,90,86,71,1,0,1
1,7,89,2,92,89,83,1,0,1
1,7,88,1,90,76,81,1,0,1
1,7,99,2,96,89,84,1,0,1
2,8,82,1,89,22,31,1,0,1
2,8,84,2,92,29,43,1,0,1
2,8,90,1,79,76,79,1,0,1
2,8,84,2,77,79,68,1,0,1
1,8,10,1,0,2,41,0,1,0
1,8,11,2,2,9,49,0,1,0
1,8,85,1,89,22,61,0,0,1
1,8,80,2,89,23,68,0,0,1
1,8,75,1,72,64,39,1,1,0
1,8,72,2,76,66,40,1,1,0
1,8,87,1,92,74,89,1,0,1
1,8,81,2,84,77,85,1,0,1
2,8,15,1,97,22,10,1,0,1
2,8,19,2,98,20,2,1,0,1
2,8,85,1,90,52,30,1,0,1
2,8,79,2,91,49,22,1,0,1
1,8,90,1,91,80,81,1,0,1
1,8,80,2,90,80,83,1,0,1
2,8,85,1,99,42,90,1,0,1
2,8,89,2,96,45,92,1,0,1
2,8,80,1,82,64,58,1,0,1
2,8,87,2,93,63,60,1,0,1
2,8,15,1,9,14,80,0,1,0
2,8,9,2,6,15,85,0,1,0
2,8,2,1,7,4,8,0,1,0
2,8,5,2,4,5,8,0,1,0
2,8,30,1,17,14,57,0,1,0
2,8,35,2,14,23,62,0,1,0
